time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha,beta
6.284,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.296,12.78181,129.76462,-0.0,26.46219,-0.26587,0.00012,-0.00011,0.00013,0.00968,0.99995,-0.00077,0.00077,0.03587,22.69472,32.25866,0.00467,1.68649,-0.01486
6.296,12.78181,129.76462,-0.0,26.46219,-0.26587,0.00012,-0.00011,0.00013,0.00968,0.99995,-0.00077,0.00077,0.03587,22.69472,32.25866,0.00467,1.68649,-0.01486
6.313,13.0468,129.76201,0.0,26.53652,-0.25594,0.00013,-0.00011,0.00014,0.00987,0.99995,-0.00078,0.00077,0.03878,22.29971,32.40071,0.00497,1.68442,-0.01532
6.33,13.31253,129.7595,0.0,26.60955,-0.24549,0.00015,-0.00011,0.00014,0.01007,0.99995,-0.00079,0.00077,0.04172,21.90978,32.5546,0.00526,1.68311,-0.01579
6.33,13.31253,129.7595,0.0,26.60955,-0.24549,0.00015,-0.00011,0.00014,0.01007,0.99995,-0.00079,0.00077,0.04172,21.90978,32.5546,0.00526,1.68311,-0.01579
6.346,13.57899,129.7571,0.0,26.6813,-0.23449,0.00017,-0.00012,0.00014,0.01029,0.99995,-0.0008,0.00077,0.04467,21.52485,32.71936,0.00556,1.6825,-0.01626
6.346,13.57899,129.7571,0.0,26.6813,-0.23449,0.00017,-0.00012,0.00014,0.01029,0.99995,-0.0008,0.00077,0.04467,21.52485,32.71936,0.00556,1.6825,-0.01626
6.363,13.84616,129.75481,1.0e-5,26.75179,-0.22291,0.00019,-0.00012,0.00015,0.01052,0.99994,-0.00082,0.00077,0.04762,21.1448,32.89397,0.00587,1.68251,-0.01674
6.379,14.11402,129.75264,1.0e-5,26.82102,-0.21072,0.00021,-0.00013,0.00015,0.01076,0.99994,-0.00083,0.00076,0.05056,20.76953,33.07743,0.00617,1.6831,-0.01721
6.379,14.11402,129.75264,1.0e-5,26.82102,-0.21072,0.00021,-0.00013,0.00015,0.01076,0.99994,-0.00083,0.00076,0.05056,20.76953,33.07743,0.00617,1.6831,-0.01721
6.396,14.38257,129.7506,1.0e-5,26.88901,-0.19789,0.00023,-0.00013,0.00015,0.01102,0.99994,-0.00084,0.00076,0.05348,20.39897,33.26872,0.00647,1.68419,-0.01768
6.396,14.38257,129.7506,1.0e-5,26.88901,-0.19789,0.00023,-0.00013,0.00015,0.01102,0.99994,-0.00084,0.00076,0.05348,20.39897,33.26872,0.00647,1.68419,-0.01768
6.413,14.6518,129.74869,1.0e-5,26.95579,-0.1844,0.00025,-0.00013,0.00016,0.0113,0.99994,-0.00085,0.00076,0.05637,20.03301,33.46685,0.00678,1.68574,-0.01816
6.429,14.92168,129.74691,1.0e-5,27.02136,-0.17023,0.00028,-0.00014,0.00016,0.01159,0.99993,-0.00086,0.00075,0.05923,19.67157,33.67083,0.00708,1.68769,-0.01863
6.429,14.92168,129.74691,1.0e-5,27.02136,-0.17023,0.00028,-0.00014,0.00016,0.01159,0.99993,-0.00086,0.00075,0.05923,19.67157,33.67083,0.00708,1.68769,-0.01863
6.446,15.19222,129.74528,2.0e-5,27.08575,-0.15537,0.0003,-0.00014,0.00017,0.01189,0.99993,-0.00088,0.00075,0.06205,19.31458,33.87971,0.00738,1.68997,-0.01911
6.446,15.19222,129.74528,2.0e-5,27.08575,-0.15537,0.0003,-0.00014,0.00017,0.01189,0.99993,-0.00088,0.00075,0.06205,19.31458,33.87971,0.00738,1.68997,-0.01911
6.463,15.46339,129.74381,2.0e-5,27.14895,-0.13979,0.00033,-0.00015,0.00017,0.01221,0.99993,-0.00089,0.00074,0.06482,18.96195,34.09257,0.00769,1.69256,-0.01959
